Component,Explained Variance Ratio,Cumulative
72,0.002852750026961682,0.7298796929610867
73,0.002851454504881071,0.7327311474659678
74,0.002839483174719101,0.7355706306406868
75,0.0028221271083162976,0.7383927577490031
76,0.002803898749297113,0.7411966564983002
77,0.002765116309292434,0.7439617728075927
78,0.0027491201363865282,0.7467108929439792
79,0.002707585685340046,0.7494184786293192
80,0.002683106545206521,0.7521015851745257
81,0.0026630642353175334,0.7547646494098432
82,0.002642011419340467,0.7574066608291837
83,0.002638071659494583,0.7600447324886783
84,0.0026193492976267696,0.7626640817863051
85,0.002599856135281338,0.7652639379215864
86,0.0025960054105344235,0.7678599433321208
87,0.0025611706364921973,0.770421113968613
88,0.002545266972691256,0.7729663809413043
89,0.0025427071836278746,0.7755090881249322
90,0.002522693565607285,0.7780317816905395
91,0.002490843881214951,0.7805226255717544
92,0.0024679047206184472,0.7829905302923729
93,0.0024589252013753242,0.7854494554937482
94,0.002456010394487712,0.787905465888236
95,0.0024363657822874737,0.7903418316705234
96,0.002409415840489073,0.7927512475110124
97,0.0024024594793836153,0.7951537069903961
98,0.0023856895645455486,0.7975393965549417
99,0.002365897668414254,0.7999052942233559
100,0.002348047709602786,0.8022533419329587
101,0.002324619626888254,0.804577961559847
102,0.0022876178257909816,0.806865579385638
103,0.0022725488132994865,0.8091381281989375
104,0.002255786721394215,0.8113939149203317
105,0.002234426543064975,0.8136283414633967
106,0.002231833336831527,0.8158601748002282
107,0.0022072643139129417,0.8180674391141411
108,0.002193925829927638,0.8202613649440688
109,0.0021727845787329167,0.8224341495228017
110,0.0021570998386344752,0.8245912493614361
111,0.0021495079955597897,0.8267407573569959
112,0.002143828022815347,0.8288845853798112
113,0.0021258940237519485,0.8310104794035632
114,0.002113083313609375,0.8331235627171726
115,0.00208844527929103,0.8352120079964637
116,0.002081738682387906,0.8372937466788516
117,0.0020648941935853308,0.839358640872437
118,0.0020615417068584187,0.8414201825792954
119,0.002032570465474429,0.8434527530447699
120,0.0020155636125830383,0.8454683166573529
121,0.002003260895764349,0.8474715775531172
122,0.002000238288198124,0.8494718158413154
123,0.0019679642867359236,0.8514397801280513
124,0.0019524025683458953,0.8533921826963973
125,0.001945505821100939,0.8553376885174983
126,0.0019188120119833778,0.8572565005294817
127,0.001901838925456554,0.8591583394549382
128,0.0018933749197417211,0.86105171437468
129,0.0018818818319898565,0.8629335962066699
130,0.0018671498552935298,0.8648007460619634
131,0.0018493544417261332,0.8666501005036896
132,0.0018221097794319677,0.8684722102831216
133,0.0018125045285352294,0.8702847148116568
134,0.0017935001505181123,0.872078214962175
135,0.0017800307878168308,0.8738582457499918
136,0.0017652251823662938,0.8756234709323581
137,0.0017548128896780822,0.8773782838220362
138,0.001732448186175176,0.8791107320082113
139,0.0017309189196273442,0.8808416509278386
140,0.001723663295342941,0.8825653142231815
141,0.0017104654959697715,0.8842757797191513
142,0.0016974695898724329,0.8859732493090237
143,0.0016639200055681832,0.8876371693145918
144,0.0016379690453867586,0.8892751383599785
145,0.0016338120754394458,0.890908950435418
146,0.0016189080295439544,0.892527858464962
147,0.0016126591876527768,0.8941405176526147
148,0.0015882431003532117,0.8957287607529679
149,0.0015750781310845605,0.8973038388840525
150,0.0015652017040532506,0.8988690405881058
151,0.0015564584410607519,0.9004254990291666
152,0.001547086554199386,0.901972585583366
153,0.0015337378051974943,0.9035063233885635
154,0.001528594174551375,0.9050349175631149
155,0.0015177565760246792,0.9065526741391396
156,0.0014978818003946234,0.9080505559395343
157,0.0014826565564227312,0.9095332124959571
158,0.0014719629461583937,0.9110051754421155
159,0.0014481559360627295,0.9124533313781782
160,0.001432847094602443,0.9138861784727806
161,0.0014255771396411967,0.9153117556124218
162,0.0014081752301804817,0.9167199308426023
163,0.0013981277287463982,0.9181180585713486
164,0.001389243468821507,0.9195073020401702
165,0.0013672106155784038,0.9208745126557486
166,0.0013536693672361216,0.9222281820229847
167,0.0013349167471188336,0.9235630987701036
168,0.0013195005964377969,0.9248825993665414
